Lag,Proxy-Market Correlation,Proxy-Breadth Correlation
-5,-0.05405709476529292,-0.03411641178770825
-4,-0.03973924808965396,-0.03214639159496427
-3,0.0430577730899503,0.0492854776882649
-2,-0.06829877233330668,-0.07666823008267942
-1,0.012079964657115779,-0.008740319126836852
0,0.9930372834017922,0.9496401926991769
1,0.011434220906046056,0.013846411099364707
2,-0.06457219842912597,-0.07077672714787028
3,0.027788241828893275,0.027918517695328313
4,-0.037682775220863295,-0.028107240805255236
5,-0.05255373293482645,-0.059368304188009986
